id,data_source,product_name,substance_name,INN,manufacturer,route,physical_form,physical_form_binary,API_concentration_mg_ml,API_concentration_mg_ml_min,API_concentration_mg_ml_max,API_concentration_mg_ml_op,API_concentration_mg_ml_mentioned,F_percent,F_percent_min,F_percent_max,F_percent_op,F_percent_mentioned,CL_L_per_day,CL_L_per_day_min,CL_L_per_day_max,CL_L_per_day_op,CL_L_per_day_mentioned,CL_L_per_day_per_kg,CL_kind,Vd_L,Vd_L_min,Vd_L_max,Vd_L_op,Vd_L_mentioned,Vd_L_per_kg,Vd_kind,TMDD_mentioned,TMDD_keywords_found,ex_ps80,ex_his,ex_sucr,ex_ps20,ex_nacl,ex_acet,ex_treh,ex_citr,ex_phos,ex_arg,ex_edta,ex_met,ex_sorb,ex_mann,ex_gly,is_biosimilar,extraction_date,created_at,strength_total_mg,strength_total_volume_ml,strength_label,strength_source,inn_norm
143,FDA,KESIMPTA,ofatumumab,ofatumumab,Novartis Pharmaceuticals Corporation,SC,solution,0.0,50.0,,,=,1.0,,,,,0.0,0.34,,,=,1.0,,CL,5.42,,,=,1.0,,Vss,1.0,"non-linear B-cell mediated pathway, B-cell-mediated elimination",1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2026-04-13 17:34:31,2026-04-14 09:17:07,,,,,ofatumumab
144,FDA,Xolair,omalizumab,omalizumab,"Genentech, Inc.",SC,lyophilized powder,1.0,125.0,,,=,1.0,62.0,,,=,1.0,0.24,,,=,1.0,0.0024,CL/F,,,,,1.0,0.078,V/F,0.0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:35:14,2026-04-14 09:17:07,,,,,omalizumab
145,FDA,Vectibix,panitumumab,panitumumab,Amgen Inc.,IV,solution,0.0,20.0,,,=,1.0,,,,,0.0,,,,,1.0,0.0049,CL,,,,,0.0,,,1.0,nonlinear pharmacokinetics,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:36:52,2026-04-14 09:17:07,,,,,panitumumab
146,FDA,KEYTRUDA,pembrolizumab,pembrolizumab,"Merck Sharp & Dohme Corp., a subsidiary of Merck & Co., Inc.",IV,solution,0.0,25.0,,,=,1.0,100.0,,,=,0.0,0.195,,,=,1.0,,CL,6.0,,,=,1.0,,Vss,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:37:41,2026-04-14 09:17:07,,,,,pembrolizumab
147,FDA,KEYTRUDA QLEX,pembrolizumab and berahyaluronidase alfa-pmph,,Merck Sharp & Dohme LLC,SC,solution,0.0,165.0,,,=,1.0,60.0,,,=,1.0,0.195,,,=,1.0,,CL,6.0,,,=,1.0,,Vd,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:39:14,2026-04-14 09:17:07,,,,,pembrolizumab and berahyaluronidase alfa
148,FDA,Penpulimab-kcqx,penpulimab-kcqx,penpulimab,"Akeso Biopharma Co., Ltd.",IV,solution,0.0,10.0,,,=,1.0,100.0,,,=,0.0,0.2,,,=,1.0,,CL,10.0,,,=,1.0,,Vd,0.0,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2026-04-13 17:40:27,2026-04-14 09:17:07,,,,,penpulimab
149,FDA,PERJETA,pertuzumab,pertuzumab,Genentech,IV,solution,0.0,30.0,,,=,1.0,100.0,,,=,0.0,0.24,,,=,1.0,,CL,,,,,0.0,,,0.0,,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2026-04-13 17:41:08,2026-04-14 09:17:07,,,,,pertuzumab
150,FDA,PHESGO,"pertuzumab, trastuzumab, and hyaluronidase-zzxf","pertuzumab, trastuzumab, hyaluronidase","Genentech, Inc.",SC,solution,0.0,80.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,Vss,1.0,non-linear elimination,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2026-04-13 17:42:09,2026-04-14 09:17:07,,,80 mg/mL pertuzumab + 40 mg/mL trastuzumab (maintenance vial),combo product,pertuzumab
151,FDA,VEOPOZ,pozelimab-bbfg,pozelimab,"Regeneron Pharmaceuticals, Inc.",IV,concentrate,2.0,200.0,,,=,1.0,100.0,,,=,1.0,,,,,0.0,,,3.3,,,=,1.0,,Vd,1.0,"linear and non-linear pathways, non-linear elimination, saturable target-mediated elimination",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-13 17:43:16,2026-04-14 09:17:07,,,,,pozelimab
152,FDA,VEOPOZ,pozelimab-bbfg,pozelimab,"Regeneron Pharmaceuticals, Inc.",SC,solution,0.0,200.0,,,=,1.0,51.0,,,=,1.0,,,,,0.0,,,,6.0,8.6,range,1.0,,V/F,1.0,"linear and non-linear pathways, non-linear elimination, saturable target-mediated elimination",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2026-04-13 17:43:16,2026-04-14 09:17:07,,,,,pozelimab
